ticker,signal,confidence,current_price,price_change_1d,price_change_7d,rsi,sma_20,sma_50,relative_volume,week_52_position_pct,trailing_pe,beta,recommendation_key,factors,analyzed_at
BBLG,HOLD,50,1.24,6.9,8.77,52.63,1.1897,1.3022,0.98,3.33,,0.367,none,,2026-04-05T18:14:02.400429
BBLGW,BUY,80,21.0,0.0,0.0,12.5,22.5025,23.9956,0.0,45.93,,0.367,none,RSI oversold (12.5),2026-04-05T18:14:07.107157
BBNX,HOLD,50,9.93,-0.8,-12.2,43.82,10.6565,12.5045,0.47,4.37,,,buy,,2026-04-05T18:14:11.824380
BBOT,HOLD,50,8.91,-1.33,-3.68,47.29,9.2392,10.3419,0.6,6.44,,0.507,none,,2026-04-05T18:14:16.543616
BBSI,WEAK_BUY,65,29.58,2.35,2.18,67.93,28.4788,31.5146,0.6,17.48,14.221154,0.985,none,Low P/E (14.2),2026-04-05T18:14:21.317289
BBYY,BUY,80,12.988,-0.57,-2.02,29.22,13.2995,14.3569,0.12,0.23,,,,RSI oversold (29.2),2026-04-05T18:14:26.053696
BCAB,HOLD,50,6.52,-3.12,-17.52,38.87,8.1348,9.7401,0.47,0.79,,,none,,2026-04-05T18:14:30.798817
BCAL,WEAK_BUY,65,17.76,-0.45,1.2,60.15,17.5269,18.1366,0.61,68.49,9.202073,0.27,strong_buy,Low P/E (9.2),2026-04-05T18:14:35.530239
BCAR,HOLD,50,10.13,0.1,0.1,61.11,10.1113,10.1326,0.01,32.47,,,none,,2026-04-05T18:14:40.247519
BCARU,BUY,80,10.65,0.0,0.0,0.0,10.73,10.9106,0.0,38.74,,,none,RSI oversold (0.0),2026-04-05T18:14:44.950023
BCAX,WEAK_BUY,65,21.47,4.73,14.94,67.22,19.214,17.4296,1.71,99.78,,,buy,Uptrend,2026-04-05T18:14:54.396277
BCBP,SELL,80,9.02,-1.1,2.85,81.29,8.438,8.2506,1.33,62.41,,0.615,none,"Uptrend, RSI overbought (81.3)",2026-04-05T18:14:59.172794
BCDA,HOLD,50,1.2,3.45,0.0,40.0,1.2205,1.2236,1.37,9.09,,0.547,strong_buy,,2026-04-05T18:15:03.885734
BCFN,HOLD,50,20.915,0.64,0.88,50.71,20.9936,21.9833,0.24,15.82,24.693155,,,,2026-04-05T18:15:08.597200
BCG,HOLD,50,2.31,-2.94,13.79,69.0,2.0775,2.1986,1.42,45.67,57.75,,none,,2026-04-05T18:15:13.330236
BCIC,WEAK_BUY,65,7.64,1.19,4.37,39.65,7.8768,10.0428,0.76,8.29,7.346154,0.474,none,Low P/E (7.3),2026-04-05T18:15:22.863411
BCLO,SELL,80,49.01,0.51,0.33,76.71,48.6135,48.8957,2.09,54.68,,,,RSI overbought (76.7),2026-04-05T18:15:27.753564
BCML,WEAK_BUY,65,29.73,0.44,2.24,59.94,29.0351,29.3726,0.33,66.73,13.637614,0.298,buy,Low P/E (13.6),2026-04-05T18:15:32.501328
BCPC,HOLD,50,170.42,-0.85,2.07,52.87,168.371,172.2732,0.97,69.86,35.877895,0.946,none,,2026-04-05T18:15:37.361671
BCRX,WEAK_BUY,65,9.02,-3.84,-4.04,61.24,9.162,7.977,1.41,56.87,7.4545455,0.693,strong_buy,Low P/E (7.5),2026-04-05T18:17:42.128656
BCTK,HOLD,50,23.695,0.19,-2.63,46.46,24.1182,24.4541,0.42,39.13,41.93499,,,,2026-04-05T18:17:46.844007
BCTX,HOLD,50,4.1,-0.97,1.23,47.3,4.14,4.158,0.23,0.53,,1.626,none,,2026-04-05T18:17:51.566894
BCYC,HOLD,50,5.05,3.06,7.91,55.47,4.7965,5.4462,0.76,15.25,,1.653,buy,,2026-04-05T18:18:05.946389
BDCI,HOLD,50,9.97,0.0,-0.1,42.42,9.9826,10.0293,0.0,3.33,76.692314,,none,,2026-04-05T18:18:10.663292
BDCIU,HOLD,50,10.12,0.0,0.2,33.33,10.1241,10.1596,0.0,6.52,,,none,,2026-04-05T18:18:15.376598
BDGS,HOLD,50,34.45,0.18,-0.25,49.26,34.4551,34.5236,0.38,86.11,29.423296,,,,2026-04-05T18:18:24.815583
BDMD,HOLD,50,1.95,2.63,-11.76,40.26,2.2055,1.7877,0.16,18.34,,-1.155,none,,2026-04-05T18:18:29.688149
BDRX,HOLD,50,4.3665,42.23,26.38,53.65,3.8089,5.7398,55.01,1.46,,1.11,strong_buy,,2026-04-05T18:18:39.097783
BDSX,HOLD,50,15.07,2.1,-0.53,31.24,16.3227,13.7504,0.03,69.35,,0.566,none,,2026-04-05T18:18:43.824640
BDTX,WEAK_BUY,65,2.39,2.58,9.13,65.88,2.1735,2.3093,0.74,31.91,6.128206,3.39,none,Low P/E (6.1),2026-04-05T18:18:48.558072
BDVL,HOLD,50,24.93,0.16,1.01,52.29,24.7725,25.2041,0.85,43.63,20.463762,,,,2026-04-05T18:18:53.285173
BDYN,HOLD,50,24.501,-0.48,-0.17,48.76,24.5802,25.4669,0.96,28.4,23.223053,,,,2026-04-05T18:18:58.006674
BEAG,HOLD,50,10.56,0.0,0.09,51.61,10.5735,10.5632,0.09,42.86,34.064518,,none,,2026-04-05T18:19:02.729537
BEAGU,HOLD,50,10.8,0.0,0.0,,10.8,10.8444,0.0,39.87,,,none,,2026-04-05T18:19:12.184317
BEAM,HOLD,50,24.66,1.82,6.66,47.35,24.8085,26.913,0.92,48.59,,2.187,strong_buy,,2026-04-05T18:19:16.907865
BEAT,HOLD,50,1.18,-3.28,2.16,35.25,1.2522,1.3891,0.24,18.5,,-0.638,strong_buy,,2026-04-05T18:19:21.624184
BEDY,HOLD,50,26.98,-0.08,-0.06,59.81,26.7631,27.2876,0.53,35.4,18.557251,,,,2026-04-05T18:19:31.065537
BEEM,HOLD,50,1.47,-0.68,-2.0,51.11,1.468,1.5316,0.07,5.17,,1.262,strong_buy,,2026-04-05T18:19:35.783653
BEEP,HOLD,50,2.21,1.84,-8.68,38.73,2.4442,2.8085,0.61,4.28,,0.678,none,,2026-04-05T18:19:40.498692
BEEX,HOLD,50,24.461,0.17,0.68,51.52,24.3954,25.1758,0.55,69.08,24.922518,,,,2026-04-05T18:19:45.483010
BEEZ,HOLD,50,32.42,0.07,-0.11,48.44,32.5568,33.37,0.06,73.7,29.962511,,,,2026-04-05T18:19:50.217019
BEG,HOLD,50,23.68,3.98,-22.22,38.35,29.4858,34.3273,0.62,32.21,,,,,2026-04-05T18:19:54.923003
BELFA,HOLD,50,188.1,0.67,-8.98,54.61,187.8985,196.8906,1.62,77.33,40.36481,1.249,none,,2026-04-05T18:19:59.723257
BELFB,HOLD,50,204.65,0.79,-7.3,54.13,204.2115,213.9098,1.32,76.94,44.01075,1.249,none,,2026-04-05T18:20:04.595022
BELT,HOLD,50,32.73,-0.14,-1.29,47.02,33.0289,33.7504,2.44,79.55,31.45766,,,,2026-04-05T18:20:09.317603
BENF,HOLD,50,3.5,6.38,-3.58,44.28,3.618,4.0287,0.06,16.29,,,none,,2026-04-05T18:20:14.048706
BETR,WEAK_BUY,65,37.61,8.54,19.7,55.07,32.775,31.2184,0.7,33.0,,1.928,none,Uptrend,2026-04-05T18:20:23.485982
BFC,HOLD,50,136.99,0.62,3.34,54.86,134.019,138.6509,0.41,72.86,18.947441,0.396,none,,2026-04-05T18:20:32.950529
BFRG,WEAK_BUY,65,1.2,-25.93,117.0,66.12,0.7508,0.6498,1.39,43.66,,-2.295,none,Uptrend,2026-04-05T18:20:37.663741
BFRI,HOLD,50,0.98,6.41,18.93,63.61,0.8538,0.8748,0.35,67.89,,0.644,strong_buy,,2026-04-05T18:20:47.076521
BFST,WEAK_BUY,65,27.53,0.51,2.8,66.9,26.5935,27.6358,0.85,70.29,9.867384,0.82,strong_buy,Low P/E (9.9),2026-04-05T18:20:56.530711
BGC,WEAK_BUY,65,9.98,1.42,5.72,61.45,9.5225,9.3704,0.51,73.66,32.193546,0.96,strong_buy,Uptrend,2026-04-05T18:21:01.303990
BGIN,HOLD,50,3.17,-2.46,40.27,55.11,2.7329,2.8612,1.22,24.66,,,none,,2026-04-05T18:21:06.019704
BGL,HOLD,50,1.18,-8.53,-0.84,35.78,1.3625,2.1366,0.23,0.08,,3.595,none,,2026-04-05T18:21:10.739541
BGLC,HOLD,50,2.208,-2.73,-11.33,48.87,2.3717,2.4386,0.08,2.11,,2.305,none,,2026-04-05T18:21:15.465969
BGM,BUY,80,0.337,10.86,-42.88,18.58,0.7222,1.3728,1.42,0.38,,,none,RSI oversold (18.6),2026-04-05T18:21:24.893458
BGMS,SELL,80,1.01,2.02,3.06,72.5,0.9565,1.0244,1.31,0.28,,-0.534,none,RSI overbought (72.5),2026-04-05T18:21:29.607908
BGRN,HOLD,50,47.365,0.21,0.34,55.06,47.2862,47.5606,0.4,51.27,,,,,2026-04-05T18:21:34.358677
BGRO,HOLD,50,35.041,-0.01,-1.09,44.03,35.5409,36.6812,7.92,61.12,36.994995,,,,2026-04-05T18:23:39.154547
BHF,WEAK_BUY,65,59.78,0.25,-1.26,43.48,59.9555,61.7944,1.18,73.0,10.469352,0.924,hold,Low P/E (10.5),2026-04-05T18:23:53.293616
BHFAL,HOLD,50,16.9,1.08,1.32,56.22,16.7525,17.1985,0.36,14.53,,,,,2026-04-05T18:23:58.047184
BHFAM,WEAK_BUY,65,11.45,1.33,4.85,53.11,11.2231,11.6491,0.23,22.75,0.9080815,0.924,none,Low P/E (0.9),2026-04-05T18:24:02.781578
BHFAN,WEAK_BUY,65,12.8,2.56,4.49,51.07,12.5667,13.0278,0.18,21.89,1.0151479,0.924,none,Low P/E (1.0),2026-04-05T18:24:07.520905
BHFAO,WEAK_BUY,65,16.22,1.5,2.22,49.8,16.0219,16.4443,0.59,26.19,1.2863827,0.924,none,Low P/E (1.3),2026-04-05T18:24:12.265416
BHFAP,WEAK_BUY,65,15.61,1.5,1.63,45.02,15.516,16.0064,0.43,21.54,1.2380046,0.924,none,Low P/E (1.2),2026-04-05T18:24:17.044392
BHRB,WEAK_BUY,65,62.48,0.18,1.94,52.84,61.9815,64.6498,0.96,63.91,8.093265,0.273,buy,Low P/E (8.1),2026-04-05T18:24:21.829416
BHST,HOLD,50,4.28,-0.7,-1.83,55.86,4.2975,4.582,3.83,2.07,,1.397,strong_buy,,2026-04-05T18:24:26.541830
BIAF,WEAK_BUY,65,3.92,-1.51,-1.26,62.2,2.853,1.7916,0.17,14.4,,-0.815,none,Uptrend,2026-04-05T18:24:31.269845
BIB,HOLD,50,81.77,-0.97,3.86,55.48,79.2067,83.0983,0.27,84.0,23.157877,,,,2026-04-05T18:24:40.771852
BIDG,BUY,80,11.76,-2.07,-8.65,28.96,13.2573,17.139,0.24,6.1,,,,RSI oversold (29.0),2026-04-05T18:24:45.490947
BIDU,BUY,80,110.96,-0.84,-4.01,29.98,116.9305,131.0644,0.36,40.02,64.888885,0.431,buy,RSI oversold (30.0),2026-04-05T18:24:50.210160
BIIB,HOLD,50,177.34,-3.5,-6.26,44.92,184.893,186.0248,1.01,72.86,20.152271,0.162,buy,,2026-04-05T18:24:54.924265
BILI,HOLD,50,23.05,0.7,-3.11,38.12,24.3405,28.2746,0.43,39.12,88.65385,0.87,strong_buy,,2026-04-05T18:24:59.645051
BIOA,HOLD,50,17.5,-1.3,6.64,45.83,18.7117,19.6323,0.4,69.22,,,buy,,2026-04-05T18:25:04.368330
BIOX,HOLD,50,0.54,13.68,29.5,51.42,0.4564,0.6034,0.61,4.0,,0.455,none,,2026-04-05T18:25:09.090980
BIRD,HOLD,50,2.66,1.53,-25.49,38.74,3.1225,3.2439,1.42,4.77,,1.863,hold,,2026-04-05T18:25:13.812953
BIS,HOLD,50,8.77,0.92,-4.88,42.98,9.1926,8.8462,0.51,2.62,,,,,2026-04-05T18:25:18.556967
BITF,HOLD,50,1.98,0.0,-10.41,39.34,2.15,2.2041,1.02,22.05,,,strong_buy,,2026-04-05T18:25:23.287224
BITS,WEAK_BUY,65,51.664,-0.4,-8.2,40.43,54.4506,57.2581,0.83,8.25,12.3525505,,,Low P/E (12.4),2026-04-05T18:25:28.011375
BIVI,WEAK_BUY,65,1.42,2.9,8.4,50.72,1.373,1.2934,0.52,2.97,,0.561,none,Uptrend,2026-04-05T18:25:32.737550
BIXI,HOLD,50,9.9,0.0,0.0,45.45,9.909,9.9072,1.43,66.67,,,none,,2026-04-05T18:25:42.162898
BIXIU,BUY,80,10.0,0.0,0.0,0.0,10.028,10.0272,0.0,10.71,,,none,RSI oversold (0.0),2026-04-05T18:25:46.961646
BIXIW,HOLD,50,0.295,-0.67,12.17,39.13,0.2918,0.3003,1.91,32.75,,,none,,2026-04-05T18:25:51.670315
BIYA,HOLD,50,1.38,-2.82,-4.83,40.85,1.507,2.2646,0.14,0.33,,,none,,2026-04-05T18:25:56.384188
BJDX,HOLD,50,1.95,3.17,0.52,53.01,1.926,2.3989,0.04,0.77,,0.673,none,,2026-04-05T18:26:01.110153
BJK,HOLD,50,35.1,0.03,0.54,47.77,35.026,36.3768,0.54,12.23,15.734673,,,,2026-04-05T18:26:05.888865
BJRI,HOLD,50,35.84,0.56,-3.58,64.47,35.294,38.8476,0.98,39.76,16.592592,1.319,hold,,2026-04-05T18:26:10.608138
BKCH,WEAK_BUY,65,56.65,0.98,-10.14,41.62,60.2835,64.4609,0.46,29.78,11.51025,,,Low P/E (11.5),2026-04-05T18:26:15.326761
BKHA,SELL,80,11.59,0.0,0.0,100.0,11.59,11.5538,0.0,74.65,61.0,,none,"Uptrend, RSI overbought (100.0)",2026-04-05T18:26:20.051419
BKHAU,BUY,80,11.69,0.0,0.0,0.0,11.829,12.065,0.0,40.83,,,none,RSI oversold (0.0),2026-04-05T18:26:29.455905
BKMI,HOLD,50,26.17,0.19,0.55,38.66,26.2277,26.4248,1.01,19.32,,,,,2026-04-05T18:26:34.202318
BKMS,HOLD,50,25.479,-0.12,0.02,33.46,25.5281,25.5612,0.51,5.43,,,,,2026-04-05T18:26:38.923770
BKNG,HOLD,50,167.7724,0.23,-1.03,47.58,171.5743,175.9068,0.59,20.68,632.6259,1.198,buy,,2026-04-05T18:26:43.691495
BKR,HOLD,50,60.38,0.07,-3.58,69.62,59.789,59.8613,0.69,80.18,23.223078,0.898,buy,,2026-04-05T18:26:48.508073
BKYI,HOLD,50,0.54,1.89,-11.48,31.03,0.6125,0.6256,0.03,3.38,,,buy,,2026-04-05T18:26:53.220822
BL,HOLD,50,36.29,-0.49,-2.1,47.64,37.1825,39.8806,0.51,16.32,93.051285,0.879,hold,,2026-04-05T18:26:57.942932
BLBD,WEAK_BUY,65,58.63,-0.2,2.04,66.23,55.097,55.5955,0.42,86.89,14.805555,1.395,none,Low P/E (14.8),2026-04-05T18:27:02.669175
BLCN,HOLD,50,20.95,-0.95,-6.01,44.95,21.7922,22.6933,1.24,33.03,18.408794,,,,2026-04-05T18:27:07.399884
BLCR,HOLD,50,42.0,0.65,-0.12,51.64,41.7681,42.6652,0.32,87.33,30.757387,,,,2026-04-05T18:27:12.131582
BLDP,WEAK_BUY,65,2.48,2.9,-2.36,53.66,2.38,2.2982,0.55,47.74,,1.538,hold,Uptrend,2026-04-05T18:27:16.866668
BLFS,HOLD,50,19.51,1.14,-1.76,60.25,19.178,21.2992,0.5,14.03,,1.996,strong_buy,,2026-04-05T18:27:21.595949
BLFY,HOLD,50,13.24,0.0,2.32,63.79,12.8825,13.3782,0.0,78.96,,0.535,none,,2026-04-05T18:27:26.315141
BLIN,HOLD,50,0.88,-2.22,2.33,40.54,0.886,0.8446,0.34,12.42,,0.874,none,,2026-04-05T18:27:31.099939
BLIV,HOLD,50,2.7,-2.17,13.45,45.54,2.6101,2.9722,0.19,18.68,,,none,,2026-04-05T18:29:35.885288
BLKB,BUY,80,38.03,1.28,-3.38,21.04,42.3575,47.0182,1.17,4.95,16.046413,1.183,none,RSI oversold (21.0),2026-04-05T18:29:40.634015
BLLN,HOLD,50,79.36,-4.34,3.06,61.01,73.086,79.383,1.29,22.67,566.8571,,buy,,2026-04-05T18:29:45.347033
BLMN,HOLD,50,5.49,0.18,-2.31,49.44,5.634,6.1566,0.62,5.44,54.899998,1.109,none,,2026-04-05T18:29:50.091335
BLNE,BUY,80,2.19,-0.9,-7.59,25.75,2.5365,2.8536,0.57,38.96,,,none,RSI oversold (25.7),2026-04-05T18:29:54.806906
BLNK,HOLD,50,0.578,1.4,-14.12,44.71,0.6024,0.6687,0.49,5.82,,1.831,buy,,2026-04-05T18:29:59.596862
BLRKU,SELL,80,10.05,0.0,0.0,75.0,10.0385,10.0231,0.0,6.93,,,none,"Uptrend, RSI overbought (75.0)",2026-04-05T18:30:09.013715
BLRX,HOLD,50,2.21,1.38,-7.14,31.45,2.5005,2.7612,0.82,1.07,Infinity,0.482,strong_buy,,2026-04-05T18:30:18.478862
BLSG,HOLD,50,4.98,6.25,-8.08,47.6,5.3189,4.7125,0.55,17.32,,,,,2026-04-05T18:30:23.191160
BLTE,HOLD,50,169.85,1.55,9.55,55.48,161.9882,170.8132,1.03,80.03,,-1.223,none,,2026-04-05T18:30:27.923835
BLUW,HOLD,50,10.285,-0.15,-0.34,47.06,10.315,10.3262,0.18,73.96,,,none,,2026-04-05T18:30:32.642733
BLUWU,BUY,80,10.4,0.0,-0.95,0.0,10.5105,10.5842,0.0,40.0,,,none,RSI oversold (0.0),2026-04-05T18:30:37.352061
BLZE,HOLD,50,3.64,1.96,0.28,50.0,3.629,3.993,0.59,4.99,,1.299,buy,,2026-04-05T18:30:46.768241
BLZR,HOLD,50,10.025,0.05,-0.05,51.7,10.0248,10.0537,0.03,14.71,,,none,,2026-04-05T18:30:51.543368
BLZRU,HOLD,50,10.2,0.1,0.29,58.33,10.184,10.2066,0.01,20.0,,,none,,2026-04-05T18:30:56.253644
BMAX,HOLD,50,23.007,0.17,-1.31,44.29,23.1501,23.2723,1.42,8.99,,,,,2026-04-05T18:31:05.678799
BMBL,HOLD,50,3.36,0.9,1.2,36.24,3.42,3.2586,0.89,12.44,,1.87,none,,2026-04-05T18:31:10.470983
BMEA,WEAK_BUY,65,1.54,3.36,26.23,59.57,1.323,1.3002,0.96,30.25,,-0.265,buy,Uptrend,2026-04-05T18:31:15.189971
BMGL,HOLD,50,0.595,-3.09,-1.82,47.68,0.6084,0.6459,0.04,1.21,,,none,,2026-04-05T18:31:19.907068
BMHL,HOLD,50,3.65,0.0,0.0,48.44,3.6028,3.6509,0.0,52.54,33.18182,,none,,2026-04-05T18:31:24.630889
BMNG,HOLD,50,1.17,-3.31,-18.75,42.67,1.367,1.6617,2.56,1.04,,,,,2026-04-05T18:31:34.070641
BMOP,HOLD,50,24.685,0.3,0.99,47.38,24.6387,24.7848,0.92,49.58,,,,,2026-04-05T18:31:38.807291
BMR,BUY,80,1.42,1.43,-7.79,25.81,1.5835,1.7135,0.2,5.38,,3.833,none,RSI oversold (25.8),2026-04-05T18:31:43.531614
BMRA,HOLD,50,2.17,-0.91,0.46,62.82,2.0945,2.1854,0.66,9.97,,0.201,none,,2026-04-05T18:31:48.251538
BMRC,SELL,80,25.84,-0.15,1.77,78.7,24.6375,25.7807,0.73,71.7,,0.823,buy,RSI overbought (78.7),2026-04-05T18:31:53.021300
BMRN,HOLD,50,55.5,-3.04,-0.16,38.86,56.8515,58.3736,1.06,30.54,30.833334,0.291,none,,2026-04-05T18:31:57.746653
BNAI,WEAK_BUY,65,41.66,10.62,0.43,55.08,39.671,33.6626,0.11,47.57,,1.001,none,Uptrend,2026-04-05T18:32:02.481281
BNBX,WEAK_BUY,65,0.66,1.54,-4.35,30.77,0.732,0.8938,0.1,0.21,0.0023247988,0.696,none,Low P/E (0.0),2026-04-05T18:32:11.953533
BNC,BUY,80,2.69,-3.24,-14.6,25.22,3.209,3.9447,0.49,0.22,,0.809,none,RSI oversold (25.2),2026-04-05T18:32:16.679697
BND,HOLD,50,73.58,0.22,0.4,54.25,73.4239,73.7644,0.8,56.81,,,,,2026-04-05T18:32:26.188423
BNDP,HOLD,50,74.273,0.19,0.31,53.01,74.1951,74.5854,0.24,23.17,,,,,2026-04-05T18:32:30.916148
BNDW,HOLD,50,68.27,0.04,0.21,53.09,68.1985,68.5844,1.3,21.13,,,,,2026-04-05T18:32:35.662744
BNDX,HOLD,50,47.96,-0.1,-0.02,51.51,47.9716,48.2935,0.81,15.45,,,,,2026-04-05T18:32:40.435195
BNGO,HOLD,50,1.2,0.84,0.0,55.42,1.161,1.2046,0.34,3.15,,1.6,strong_buy,,2026-04-05T18:32:45.149309
BNKK,HOLD,50,2.5,-0.4,3.73,39.38,2.6332,3.503,0.02,0.43,,,none,,2026-04-05T18:32:49.872268
BNR,HOLD,50,16.2,-0.61,-20.98,50.82,19.011,25.8765,1.91,35.46,,1.599,none,,2026-04-05T18:32:54.601518
BNRG,HOLD,50,0.639,0.79,-12.47,41.47,0.7058,1.5525,0.12,0.18,,-0.63,none,,2026-04-05T18:32:59.329546
BNTC,HOLD,50,10.92,-0.46,0.74,39.28,11.332,11.4363,0.33,14.66,,0.123,none,,2026-04-05T18:33:04.044056
BNTX,HOLD,50,91.18,1.97,2.71,49.98,90.276,102.0302,0.67,26.21,,1.593,buy,,2026-04-05T18:33:08.768756
BNZI,HOLD,50,0.841,-1.06,-13.21,35.06,1.0035,1.1242,0.48,0.18,,,strong_buy,,2026-04-05T18:33:13.498355
BODI,WEAK_BUY,65,11.9,3.3,2.5,59.99,10.778,10.0236,2.69,91.81,,0.853,none,Uptrend,2026-04-05T18:33:22.946679
BOED,HOLD,50,18.322,-0.46,-4.91,50.01,18.719,17.283,3.96,36.82,,,,,2026-04-05T18:33:27.660644
BOEG,HOLD,50,13.195,0.85,8.35,47.41,13.0249,15.7758,0.32,27.61,,,,,2026-04-05T18:35:32.493173
BOEU,HOLD,50,33.249,0.61,8.32,47.26,32.8745,39.7885,0.68,26.34,47.911953,,,,2026-04-05T18:35:37.218999
BOF,WEAK_BUY,65,3.68,6.36,-2.39,50.24,3.6455,3.5448,0.66,62.87,,,none,Uptrend,2026-04-05T18:35:41.935403
BOKF,WEAK_BUY,65,128.58,0.38,2.25,65.14,125.8235,129.2017,0.69,81.55,14.021811,0.843,hold,Low P/E (14.0),2026-04-05T18:35:46.707122
BOLD,HOLD,50,1.08,-4.42,-4.42,45.31,1.1308,1.1462,2.29,14.53,,-0.255,none,,2026-04-05T18:35:51.425290
BOLT,HOLD,50,4.29,-4.88,-4.67,56.19,4.3413,4.9491,0.63,7.13,,0.862,none,,2026-04-05T18:35:56.135685
BON,BUY,80,1.28,0.0,-5.88,4.55,1.4119,1.547,0.43,6.61,,-0.249,none,RSI oversold (4.5),2026-04-05T18:36:00.854919
BOOM,SELL,80,5.55,4.91,10.78,74.12,5.05,6.719,0.94,19.07,,1.654,none,RSI overbought (74.1),2026-04-05T18:36:05.620391
BOSC,WEAK_BUY,65,4.7,1.95,-8.56,48.17,4.9125,4.8466,0.45,40.94,8.245614,1.156,none,Low P/E (8.2),2026-04-05T18:36:10.350665
BOTJ,BUY,80,21.1,1.93,0.86,52.55,20.5905,20.1618,2.74,95.41,10.602964,0.118,none,"Uptrend, Low P/E (10.6)",2026-04-05T18:36:15.098567
BOTT,HOLD,50,46.442,-1.26,-3.54,36.69,49.5254,54.3971,0.26,50.79,44.168465,,,,2026-04-05T18:36:19.820283
BOTZ,HOLD,50,33.4,-1.47,-2.85,41.9,34.499,36.5772,0.72,60.05,30.176735,,,,2026-04-05T18:36:24.561436
BOXL,HOLD,50,1.1,-10.57,6.8,39.58,1.193,1.3598,0.04,0.25,,0.947,none,,2026-04-05T18:36:29.285705
BPAC,WEAK_BUY,65,10.0,0.0,0.1,50.0,9.9965,9.9854,1.28,59.09,,,none,Uptrend,2026-04-05T18:36:34.000385
BPACU,HOLD,50,10.15,0.0,0.0,,10.1531,10.1872,0.0,25.48,,,none,,2026-04-05T18:36:43.410672
BPOP,WEAK_BUY,65,136.81,0.27,2.53,69.59,131.3294,135.2672,0.61,82.41,11.113729,0.614,buy,Low P/E (11.1),2026-04-05T18:36:48.242481
BPOPM,WEAK_BUY,65,25.33,1.32,0.16,52.52,25.2511,25.159,4.09,55.17,,,,Uptrend,2026-04-05T18:36:53.191547
BPRN,WEAK_BUY,65,34.81,0.67,1.4,61.9,33.716,34.8308,0.28,70.39,12.845018,0.484,none,Low P/E (12.8),2026-04-05T18:36:57.934542
BPYPM,WEAK_BUY,65,16.9,-3.04,9.24,69.23,15.943,15.8002,2.63,78.49,,,none,Uptrend,2026-04-05T18:37:02.692447
BPYPN,WEAK_BUY,65,13.87,1.09,4.6,56.95,13.4834,13.5444,0.58,66.67,6.3160286,,none,Low P/E (6.3),2026-04-05T18:37:07.475776
BPYPO,BUY,80,15.15,0.66,2.43,57.71,14.8551,14.8396,0.56,65.89,6.8989067,,none,"Uptrend, Low P/E (6.9)",2026-04-05T18:37:12.205283
BPYPP,WEAK_BUY,65,16.01,-0.37,5.77,58.51,15.3965,15.5117,0.69,80.65,7.290528,,none,Low P/E (7.3),2026-04-05T18:37:16.944901
BRAG,HOLD,50,1.84,-1.08,-9.36,62.69,1.753,1.843,0.32,11.31,,0.313,none,,2026-04-05T18:37:21.699858
BRBI,HOLD,50,14.71,0.0,-2.37,54.58,14.5482,14.6879,0.23,4.67,34.2093,0.249,none,,2026-04-05T18:37:31.182491
BRCB,BUY,80,13.18,0.3,-11.25,29.62,15.013,14.857,0.68,8.84,,,strong_buy,RSI oversold (29.6),2026-04-05T18:37:35.911948
BREM,HOLD,50,49.855,0.07,-0.37,43.33,50.1063,50.7127,0.68,14.37,,,,,2026-04-05T18:37:40.651230
BRFH,HOLD,50,2.8,-1.75,3.32,43.33,2.7405,2.8368,2.4,19.61,,0.874,strong_buy,,2026-04-05T18:37:50.080758
BRHY,HOLD,50,50.419,0.15,0.56,57.23,50.1779,50.6185,0.4,49.18,15.387871,,,,2026-04-05T18:37:54.817907
BRID,HOLD,50,7.51,0.67,-4.94,50.18,7.4965,7.5724,0.93,29.31,,-0.269,none,,2026-04-05T18:37:59.726549
BRKD,WEAK_BUY,65,24.381,0.36,-0.02,67.96,23.9894,23.7202,5.14,77.04,,,,Uptrend,2026-04-05T18:38:04.450757
BRKR,HOLD,50,36.76,1.88,2.68,64.36,35.0912,39.1396,0.6,29.72,,1.201,buy,,2026-04-05T18:38:09.201882
BRKRP,HOLD,50,290.04,0.88,1.68,60.9,280.8848,308.4095,0.25,23.58,,1.201,none,,2026-04-05T18:38:13.920631
BRKU,WEAK_BUY,65,21.598,-0.56,0.02,32.27,22.3191,22.9826,0.18,7.47,13.614986,,,Low P/E (13.6),2026-04-05T18:38:18.648861
BRLS,HOLD,50,1.4,0.0,-10.83,31.67,1.5615,1.4262,0.0,12.4,,0.253,none,,2026-04-05T18:38:23.434965
BRLT,HOLD,50,1.3,-1.52,0.0,52.94,1.3025,1.4434,0.5,4.76,,1.422,hold,,2026-04-05T18:38:32.938654
BRNS,HOLD,50,0.6,11.11,9.09,44.98,0.5943,0.6353,0.41,3.65,,-0.604,none,,2026-04-05T18:38:37.654640
BRNY,HOLD,50,49.351,0.23,1.03,58.31,48.5565,49.7835,2.08,84.37,17.84144,,,,2026-04-05T18:38:42.469708
BRR,BUY,80,1.97,1.03,-21.67,24.48,2.5327,2.5695,1.56,1.04,,,none,RSI oversold (24.5),2026-04-05T18:38:47.179983
BRRR,HOLD,50,18.91,-1.72,-5.45,39.28,19.6748,20.27,0.7,7.37,,,,,2026-04-05T18:38:51.895837
BRRWW,BUY,80,0.27,-3.57,0.37,24.64,0.3583,0.4369,0.08,4.14,,,none,RSI oversold (24.6),2026-04-05T18:38:56.617031
BRTR,HOLD,50,50.145,0.17,0.29,51.63,50.1353,50.515,0.69,50.24,17.265554,,,,2026-04-05T18:39:01.351532
